line,series,status,checked,source
jr-central.chuo,381,retired,,draft
jr-central.takayama,hc85,active,,draft
jr-central.takayama,kiha-85,retired,,draft
jr-west.takayama,hc85,active,,draft
jr-west.takayama,kiha-85,retired,,draft
jr-central.minobu,373,active,,draft
jr-central.iida,373,active,,draft
jr-central.kansai,hc85,active,,draft
jr-central.kansai,kiha-85,retired,,draft
jr-central.kisei,hc85,active,,draft
jr-central.kisei,kiha-85,retired,,draft
jr-kyushu.kagoshima,885,active,,draft
jr-kyushu.kagoshima,883,active,,draft
jr-kyushu.kagoshima,787,active,,draft
jr-kyushu.kagoshima,783,active,,draft
jr-kyushu.nippo,885,active,,draft
jr-kyushu.nippo,883,active,,draft
jr-kyushu.nippo,787,active,,draft
jr-kyushu.nagasaki,787,active,,draft
jr-kyushu.nagasaki,783,active,,draft
jr-kyushu.sasebo,783,active,,draft
jr-kyushu.omura,783,active,,draft
jr-hokkaido.hakodate,261,active,,draft
jr-hokkaido.hakodate,789,active,,draft
jr-hokkaido.muroran,261,active,,draft
jr-hokkaido.muroran,789,active,,draft
jr-hokkaido.chitose,261,active,,draft
jr-hokkaido.chitose,789,active,,draft
jr-hokkaido.sekisho,261,active,,draft
jr-hokkaido.nemuro,261,active,,draft
tobu.isesaki,tobu-10000,active,,draft
tobu.isesaki,tobu-30000,active,,draft
tobu.isesaki,tobu-50000,active,,draft
tobu.isesaki,tobu-70000,active,,draft
tobu.isesaki,tobu-20000,active,,draft
tobu.isesaki,tokyo-metro-08,active,,draft
tobu.isesaki,tokyo-metro-18000,active,,draft
tobu.isesaki,tokyo-metro-13000,active,,draft
tobu.isesaki,tokyu-5000,active,,draft
tobu.isesaki,tokyu-2020,active,,draft
tobu.isesaki,tobu-8000,retiring,,draft
tobu.isesaki,tokyo-metro-8000,retiring,,draft
tobu.isesaki,tobu-6050,retired,,draft
tobu.nikko,tobu-20000,active,,draft
tobu.nikko,tobu-10000,active,,draft
tobu.nikko,tobu-6050,retiring,,draft
tobu.kinugawa,tobu-20000,active,,draft
tobu.kinugawa,tobu-6050,retiring,,draft
tobu.kiryu,tobu-8000,active,,draft
tobu.urban-park,tobu-60000,active,,draft
tobu.urban-park,tobu-80000,active,,draft
tobu.urban-park,tobu-10000,active,,draft
tobu.urban-park,tobu-8000,retiring,,draft
yagan-railway.aizu-kinugawa,aizu-at-600,active,,draft
yagan-railway.aizu-kinugawa,aizu-at-700,active,,draft
yagan-railway.aizu-kinugawa,tobu-6050,retiring,,draft
aizu-railway.aizu,aizu-at-600,active,,draft
aizu-railway.aizu,aizu-at-700,active,,draft
jr-east.tohoku,e231,active,,draft
jr-east.tohoku,e233,active,,draft
jr-east.tohoku,e131,active,,draft
jr-east.tohoku,e531,active,,draft
jr-east.tohoku,701,active,,draft
jr-east.tohoku,e721,active,,draft
jr-east.tohoku,205,retired,,draft
jr-east.tohoku,211,retired,,draft
jr-east.tohoku,115,retired,,draft
jr-east.tohoku,209,retired,,draft
jr-east.akabane,e233,active,,draft
jr-east.akabane,e231,active,,draft
jr-east.akabane,sotetsu-12000,active,,draft
jr-east.akabane,twr-70-000,active,,draft
jr-east.akabane,205,retired,,draft
jr-east.yamanote,e233,active,,draft
jr-east.yamanote,sotetsu-12000,active,,draft
jr-east.yamanote,twr-70-000,active,,draft
seibu.ikebukuro,seibu-6000,active,,draft
seibu.ikebukuro,seibu-40000,active,,draft
seibu.ikebukuro,seibu-30000,active,,draft
seibu.ikebukuro,seibu-20000,active,,draft
seibu.ikebukuro,seibu-4000,active,,draft
seibu.ikebukuro,tokyo-metro-10000,active,,draft
seibu.ikebukuro,tokyo-metro-17000,active,,draft
seibu.ikebukuro,tokyu-5000,active,,draft
seibu.ikebukuro,minatomirai-y500,active,,draft
seibu.ikebukuro,seibu-2000,retiring,,draft
seibu.ikebukuro,seibu-9000,retired,,draft
seibu.chichibu,seibu-4000,active,,draft
seibu.shinjuku,seibu-2000,active,,draft
seibu.shinjuku,seibu-30000,active,,draft
seibu.shinjuku,seibu-20000,active,,draft
seibu.shinjuku,seibu-40000,active,,draft
seibu.shinjuku,seibu-6000,active,,draft
keisei.keisei,keisei-3000,active,,draft
keisei.keisei,keisei-3700,active,,draft
keisei.keisei,keisei-3200,active,,draft
keisei.keisei,toei-5500,active,,draft
keisei.keisei,keikyu-1000,active,,draft
keisei.keisei,keikyu-600,active,,draft
keisei.keisei,keisei-3500,retiring,,draft
keisei.keisei,keisei-3400,retired,,draft
keisei.keisei,keisei-3600,retired,,draft
keisei.narita-airport,keisei-3100,active,,draft
keisei.narita-airport,keisei-3000,active,,draft
keisei.narita-airport,toei-5500,active,,draft
keisei.narita-airport,keikyu-1000,active,,draft
keisei.narita-airport,hokuso-7500,active,,draft
keisei.narita-airport,hokuso-9100,active,,draft
keisei.narita-airport,hokuso-9200,active,,draft
hokuso.hokuso,hokuso-7500,active,,draft
hokuso.hokuso,hokuso-9100,active,,draft
hokuso.hokuso,hokuso-9200,active,,draft
hokuso.hokuso,keisei-3000,active,,draft
hokuso.hokuso,keisei-3100,active,,draft
hokuso.hokuso,keisei-3700,active,,draft
hokuso.hokuso,toei-5500,active,,draft
hokuso.hokuso,keikyu-1000,active,,draft
jr-east.tokaido,e231,active,,draft
jr-east.tokaido,e233,active,,draft
jr-east.tokaido,e235,active,,draft
jr-east.tokaido,e217,retired,,draft
jr-east.tokaido,211,retired,,draft
jr-east.tokaido,113,retired,,draft
jr-east.tokaido,215,retired,,draft
jr-east.ito,izukyu-8000,active,,draft
jr-east.ito,izukyu-3000,active,,draft
jr-east.ito,izukyu-2100,active,,draft
izukyu.izu-kyuko,izukyu-8000,active,,draft
izukyu.izu-kyuko,izukyu-3000,active,,draft
jr-east.sobu,e235,active,,draft
jr-east.sobu,e231,active,,draft
jr-east.sobu,e131,active,,draft
jr-east.sobu,209,retiring,,draft
jr-east.sobu,e217,retired,,draft
jr-east.sobu,113,retired,,draft
jr-east.sobu,201,retired,,draft
jr-east.sobu,103,retired,,draft
jr-east.narita,e235,active,,draft
jr-east.narita,e231,active,,draft
jr-east.narita,e131,active,,draft
jr-east.narita,209,retiring,,draft
jr-east.narita,e217,retired,,draft
jr-east.narita,113,retired,,draft
jr-east.uchibo,e131,active,,draft
jr-east.uchibo,e235,active,,draft
jr-east.uchibo,e233,active,,draft
jr-east.uchibo,209,retiring,,draft
jr-east.uchibo,e217,retired,,draft
jr-east.uchibo,113,retired,,draft
jr-east.sotobo,e131,active,,draft
jr-east.sotobo,e235,active,,draft
jr-east.sotobo,e233,active,,draft
jr-east.sotobo,209,retiring,,draft
jr-east.sotobo,e217,retired,,draft
jr-east.sotobo,113,retired,,draft
jr-east.keiyo,e233,active,,draft
jr-east.keiyo,e231,active,,draft
jr-east.keiyo,209,active,,draft
jr-east.keiyo,205,retired,,draft
jr-east.keiyo,201,retired,,draft
jr-east.joban,e531,active,,draft
jr-east.joban,e231,active,,draft
jr-east.joban,e233,active,,draft
jr-east.joban,tokyo-metro-16000,active,,draft
jr-east.joban,odakyu-4000,active,,draft
jr-east.joban,e501,retiring,,draft
jr-east.joban,415,retired,,draft
jr-east.joban,203,retired,,draft
jr-east.takasaki,e231,active,,draft
jr-east.takasaki,e233,active,,draft
jr-east.takasaki,211,retired,,draft
jr-east.takasaki,115,retired,,draft
jr-east.takasaki,107,retired,,draft
jr-east.agatsuma,211,retiring,,draft
jr-east.agatsuma,107,retired,,draft
jr-east.agatsuma,115,retired,,draft
jr-east.shinonoi,e127,active,,draft
jr-east.shinonoi,211,active,,draft
jr-east.shinonoi,313,active,,draft
jr-east.shinonoi,e353,active,,draft
jr-east.shinonoi,115,retired,,draft
fujikyu.otsuki,fujikyu-6000,active,,draft
fujikyu.otsuki,e233,active,,draft
fujikyu.otsuki,fujikyu-8500,retiring,,draft
fujikyu.otsuki,fujikyu-1000,retiring,,draft
fujikyu.kawaguchiko,fujikyu-6000,active,,draft
fujikyu.kawaguchiko,e233,active,,draft
fujikyu.kawaguchiko,fujikyu-8500,retiring,,draft
fujikyu.kawaguchiko,fujikyu-1000,retiring,,draft
jr-central.gotemba,313,active,,draft
jr-central.gotemba,315,active,,draft
jr-central.gotemba,211,retired,,draft
kintetsu.namba,kintetsu-5800,active,,draft
kintetsu.namba,kintetsu-9020,active,,draft
kintetsu.namba,kintetsu-1233,active,,draft
kintetsu.namba,kintetsu-8a,active,,draft
kintetsu.namba,hanshin-1000,active,,draft
kintetsu.namba,hanshin-9000,active,,draft
kintetsu.nara,kintetsu-8a,active,,draft
kintetsu.nara,kintetsu-9020,active,,draft
kintetsu.nara,kintetsu-5800,active,,draft
kintetsu.nara,kintetsu-1233,active,,draft
kintetsu.nara,kintetsu-3220,active,,draft
kintetsu.nara,hanshin-1000,active,,draft
kintetsu.nara,hanshin-9000,active,,draft
kintetsu.nara,kintetsu-8000,retiring,,draft
kintetsu.osaka,kintetsu-1233,active,,draft
kintetsu.osaka,kintetsu-5800,active,,draft
kintetsu.osaka,kintetsu-9020,active,,draft
kintetsu.osaka,kintetsu-2000,active,,draft
kintetsu.osaka,kintetsu-2800,retiring,,draft
kintetsu.nagoya,kintetsu-1233,active,,draft
kintetsu.nagoya,kintetsu-5800,active,,draft
kintetsu.nagoya,kintetsu-2000,active,,draft
kintetsu.nagoya,kintetsu-2800,retiring,,draft
kintetsu.yamada,kintetsu-1233,active,,draft
kintetsu.yamada,kintetsu-2000,active,,draft
kintetsu.yamada,kintetsu-2800,retiring,,draft
kintetsu.toba,kintetsu-1233,active,,draft
kintetsu.toba,kintetsu-2000,active,,draft
kintetsu.toba,kintetsu-2800,retiring,,draft
kintetsu.shima,kintetsu-2000,active,,draft
kintetsu.shima,kintetsu-1233,active,,draft
kintetsu.kyoto,kintetsu-3220,active,,draft
kintetsu.kyoto,kintetsu-8a,active,,draft
kintetsu.kyoto,kintetsu-1233,active,,draft
kintetsu.kyoto,kintetsu-5800,active,,draft
kintetsu.kyoto,kintetsu-8000,retiring,,draft
kintetsu.kashihara,kintetsu-8a,active,,draft
kintetsu.kashihara,kintetsu-1233,active,,draft
kintetsu.kashihara,kintetsu-5800,active,,draft
kintetsu.kashihara,kintetsu-8000,retiring,,draft
kintetsu.minami-osaka,kintetsu-6400,active,,draft
kintetsu.minami-osaka,kintetsu-6020,retiring,,draft
kintetsu.yoshino,kintetsu-6400,active,,draft
kintetsu.yoshino,kintetsu-6020,retiring,,draft
nankai.nankai,nankai-8300,active,,draft
nankai.nankai,nankai-1000,active,,draft
nankai.nankai,nankai-8000,active,,draft
nankai.nankai,nankai-12000,active,,draft
nankai.nankai,nankai-7100,retiring,,draft
nankai.nankai,nankai-9000,retiring,,draft
nankai.airport,nankai-8300,active,,draft
nankai.airport,nankai-1000,active,,draft
nankai.airport,nankai-8000,active,,draft
nankai.airport,nankai-7100,retiring,,draft
jr-west.tokaido,225,active,,draft
jr-west.tokaido,223,active,,draft
jr-west.tokaido,221,active,,draft
jr-west.tokaido,207,active,,draft
jr-west.tokaido,321,active,,draft
jr-west.tokaido,117,retired,,draft
jr-west.tokaido,201,retired,,draft
jr-west.tokaido,113,retired,,draft
jr-west.osaka-loop,323,active,,draft
jr-west.osaka-loop,221,active,,draft
jr-west.osaka-loop,223,active,,draft
jr-west.osaka-loop,225,active,,draft
jr-west.osaka-loop,201,retired,,draft
jr-west.osaka-loop,103,retired,,draft
jr-west.hanwa,225,active,,draft
jr-west.hanwa,223,active,,draft
jr-west.hanwa,205,retired,,draft
jr-west.hanwa,103,retired,,draft
jr-west.kansai-airport,225,active,,draft
jr-west.kansai-airport,223,active,,draft
jr-west.kisei,227,active,,draft
jr-west.kisei,105,retired,,draft
jr-west.kisei,113,retired,,draft
jr-west.kosei,225,active,,draft
jr-west.kosei,223,active,,draft
jr-west.kosei,221,active,,draft
jr-west.kosei,117,retired,,draft
jr-west.kosei,113,retired,,draft
jr-west.hokuriku,223,active,,draft
jr-west.hokuriku,521,active,,draft
jr-west.hokuriku,125,active,,draft
jr-west.sanyo,225,active,,draft
jr-west.sanyo,223,active,,draft
jr-west.sanyo,221,active,,draft
jr-west.sanyo,207,active,,draft
jr-west.sanyo,321,active,,draft
jr-west.sanyo,227,active,,draft
jr-west.sanyo,213,active,,draft
jr-west.sanyo,115,retiring,,draft
jr-west.sanyo,117,retired,,draft
jr-west.sanyo,113,retired,,draft
jr-west.hakubi,213,active,,draft
jr-west.hakubi,115,retiring,,draft
jr-west.sanin,223,active,,draft
jr-west.sanin,221,active,,draft
jr-west.sanin,kiha-120,active,,draft
jr-west.sanin,115,retiring,,draft
jr-west.sanin,kiha-40,retiring,,draft
jr-west.uno,213,active,,draft
jr-west.uno,115,retiring,,draft
jr-west.honshi-bisan,223,active,,draft
