id,kind,ja,reading,en,operator,lines,stations,series,status,since,until,species,unit,wikipedia_ja,wikidata,official,note_en,note_ja
m.sotetsu.sounyan,mascot,そうにゃん,,Sōnyan,sotetsu,,,,active,,,,,相模鉄道,,,Sōtetsu's cat mascot.,相鉄の猫のマスコット。
m.enoden.enonkun,mascot,えのんくん,,Enon-kun,enoden,,,,active,,,,,,,,Enoden's mascot; big brother of Randen's Aran-chan.,江ノ電のマスコット。嵐電のあらんちゃんの兄。
m.shonan-monorail.shomotan,mascot,しょもたん,,Shomotan,shonan-monorail,,,,active,,,,,しょもたん,Q18337079,,Shōnan Monorail's mascot.,湘南モノレールのマスコット。
m.arupiko-kotsu.fuchihigashinagisa,mascot,渕東なぎさ,,Endō Nagisa,arupiko-kotsu,kamikochi,,,active,,,,,渕東なぎさ,Q28682308,,"Alpico Kamikōchi Line's character, named after Fuchitō and Nagisa stations.",アルピコ交通上高地線のキャラクター。渕東駅と渚駅から。
m.hokuetsu-kyuko.hokkun,mascot,ホックン,,Hokkun,hokuetsu-kyuko,,,,active,,,,,,,,Hokuetsu Express's mascot.,北越急行のマスコット。
m.aino-kaze-toyama-tetsudo.ainojo,mascot,あいの助,,Ainosuke,aino-kaze-toyama-tetsudo,,,,active,,,,,あいの助,,,Ainokaze Toyama Railway's mascot.,あいの風とやま鉄道のマスコット。
m.kurobekyokokutetsudo.kurobee-denchaa,mascot,くろべえ＆でんちゃー,,Kurobē & Denchā,kurobekyokokutetsudo,,,,active,,,,,,,,Kurobe Gorge Railway's mascots.,黒部峡谷鉄道のマスコット。
m.toyamachihotetsudo.toreneko,mascot,とれねこ,,Toreneko,toyamachihotetsudo,toyamako,,,active,,,,,,,,"Seven cats, one for each of the Toyama Kō Line's trams (ex-Portram).",富山港線（旧ポートラム）の7編成それぞれの猫。
m.enshutetsudo.akadenjaa,mascot,あかでんジャー,,Akadenjā,enshutetsudo,,,,active,,,,,,,,Enshū Railway's mascot.,遠州鉄道のマスコット。
m.nagoyashi.hatchii,mascot,ハッチー,,Hatchī,nagoyashi,,,,active,,,,,ハッチー,,,Nagoya Municipal Subway's (and buses') mascot.,名古屋市交通局（地下鉄・バス）のマスコット。
m.aichikanjotetsudo.arurukun,mascot,あるるくん,,Aruru-kun,aichikanjotetsudo,,,,active,,,,,,,,Aichi Loop Railway's mascot.,愛知環状鉄道のマスコット。
m.kyotoshi.miyakokun,mascot,都くん,,Miyako-kun,kyotoshi,,,,active,,,,,,,,Kyoto Municipal Subway's mascot.,京都市営地下鉄のマスコット。
m.keifuku-denkitetsudo.aranchan,mascot,あらんちゃん,,Aran-chan,keifuku-denkitetsudo,,,,active,,,,,,,,"Randen's mascot; little sister of Enoden's Enon-kun, a sister railway.",嵐電のマスコット。姉妹提携する江ノ電のえのんくんの妹。
m.jr-west.kansenjaa,mascot,カンセンジャー,,Kansenjā,jr-west,sanyo-shinkansen,,,active,,,,,カンセンジャー,Q11295442,,The San'yō Shinkansen's superhero.,山陽新幹線のヒーロー。
m.osakashi-kosoku-denki-kido.chikapapa,mascot,チカパパ,,Chika Papa,osakashi-kosoku-denki-kido,,,,retired,,,,,レインボーファミリー,,,"Osaka Subway's mascot in the Rainbow Family, from the city transport bureau days.",大阪市交通局時代の「レインボーファミリー」の地下鉄担当。
m.osakashi-kosoku-denki-kido.toramukun,mascot,トラムクン,,Tram-kun,osakashi-kosoku-denki-kido,nanko-port-town,,,retired,,,,,レインボーファミリー,,,The New Tram's mascot in the Rainbow Family.,「レインボーファミリー」のニュートラム担当。
m.osakashi-kosoku-denki-kido.nyanbarou,mascot,にゃんばろう,,Nyanbarō,osakashi-kosoku-denki-kido,,,,active,,,,,にゃんばろう,,,"Osaka's subway cat, retired and then brought back by Osaka Metro.",大阪の地下鉄の猫。引退後、大阪メトロで復帰。
m.kitaosakakyuko-dentetsu.hoppii-suppii,mascot,ホッピー・スッピー,,Hoppī & Suppī,kitaosakakyuko-dentetsu,,,,active,,,,,,,,Kita-Osaka Kyūkō's mascots.,北大阪急行のマスコット。
m.nankai.oosugiaita,mascot,大杉愛多,,Ōsugi Aita,nankai,,,,active,,,,,,,,Nankai's character.,南海電鉄のキャラクター。
m.wakayama-dentetsu.suupaaekichoutama,mascot,スーパー駅長たま,,Super Stationmaster Tama,wakayama-dentetsu,,,,active,,,,,たま (猫の駅長),,,"The drawn Tama, after the real cat stationmaster of Kishi; the Ryōbi group's mascot.",貴志駅の猫の駅長たまのキャラクター。両備グループの顔。
m.kobeshi.yuuchan,mascot,ゆうちゃん,,Yū-chan,kobeshi,,,,active,,,,,,,,Kobe Municipal Subway's mascot.,神戸市営地下鉄のマスコット。
m.sanyo-denkitetsudo.rokkun,mascot,ろっくん,,Rokkun,sanyo-denkitetsudo,,,,active,,,,,,,,Sanyo Electric Railway's mascot.,山陽電気鉄道のマスコット。
m.chizu-kyuko.suupaahakutokun,mascot,スーパーはくとくん,,Super Hakuto-kun,chizu-kyuko,,,,active,,,,,,,,"Chizu Express's mascot, after the Super Hakuto.",智頭急行のマスコット。スーパーはくとから。
m.ihara-tetsudo.itchan,mascot,いっちゃん,,Icchan,ihara-tetsudo,,,,active,,,,,,,,Ibara Railway's mascot.,井原鉄道のマスコット。
m.jr-west.yakkun-momochan,mascot,やっくん＆ももちゃん,,Yakkun & Momo-chan,jr-west,hakubi,,273,active,,,,,,,,Mascots of the Yakumo limited express and its 273 series.,特急やくも・273系のマスコット。
m.takamatsu-kotohira-denkitetsudo.kotochan-kotomichan,mascot,ことちゃん・ことみちゃん,,Koto-chan & Kotomi-chan,takamatsu-kotohira-denkitetsudo,,,,active,,,,,,Q28690746,,"Kotoden's mascots, also on its IruCa card.",ことでんのマスコット。IruCaにも。
m.tosa-kuroshio-tetsudo.saniikun-sankochan,mascot,サニーくん・サンコちゃん,,Sunny-kun & Sanko-chan,tosa-kuroshio-tetsudo,nakamura sukumo,,,active,,,,,,,,Mascots of the Nakamura and Sukumo lines.,中村線・宿毛線のマスコット。
m.tosaden-kotsu.gomenkun-i-nochan,mascot,ごめんくん・い〜のちゃん,,Gomen-kun & Īno-chan,tosaden-kotsu,,,,active,,,,,,,,Tosaden's mascots.,とさでん交通のマスコット。
m.fukuokashi.chikamaru,mascot,ちかまる,,Chikamaru,fukuokashi,,,,active,,,,,ちかまる,Q11271699,,"Fukuoka City Subway's mascot, also on the Hayakaken card.",福岡市地下鉄のマスコット。はやかけんにも。
m.nishinihon-tetsudo.gatankotogotonko,mascot,ガタンコとゴトンコ,,Gatanko & Gotonko,nishinihon-tetsudo,,,,active,,,,,,,,Nishitetsu trains' mascots.,西鉄電車のマスコット。
m.heiseichikuhotetsudo.chikumaru,mascot,ちくまる,,Chikumaru,heiseichikuhotetsudo,,,,active,,,,,,,,Heisei Chikuhō Railway's mascot.,平成筑豊鉄道のマスコット。
m.amagi-tetsudo.rebittokun,mascot,レビット君,,Rebitto-kun,amagi-tetsudo,,,,active,,,,,,,,Amagi Railway's mascot.,甘木鉄道のマスコット。
m.nagasakidenkikido.naganyan,mascot,ながにゃん,,Naganyan,nagasakidenkikido,,,,active,,,,,,,,Nagasaki tram's cat mascot.,長崎電気軌道の猫のマスコット。
m.kumamoto-denkitetsudo.aimii,mascot,アイミー,,Aimī,kumamoto-denkitetsudo,,,,active,,,,,,,,Kumamoto Electric Railway's mascot.,熊本電気鉄道のマスコット。
m.hisatsu-orenji-tetsudo.orenjiizu,mascot,おれんじーず,,Orenjīzu,hisatsu-orenji-tetsudo,,,,active,,,,,,,,Hisatsu Orange Railway's mascots.,肥薩おれんじ鉄道のマスコット。
m.jr-kyushu.nitchii,mascot,ニッチー,,Nicchī,jr-kyushu,nichinan,,,active,,,,,,,,Mascot promoting the JR Nichinan Line.,JR日南線の利用促進キャラクター。
m.kako-shima-shi.basudenkamen,mascot,バスでん仮面,,Basuden Kamen,kako-shima-shi,,,,active,,,,,,,,"Kagoshima City Transportation's masked hero, trams and buses.",鹿児島市交通局（市電・バス）の仮面ヒーロー。
m.okinawa-toshi-monoreeru.yuppii,mascot,ゆっぴー,,Yuppī,okinawa-toshi-monoreeru,,,,active,,,,,,,,Yui Rail's mascot.,ゆいレールのマスコット。
m.jr-west.uerumo,mascot,ウェルモ,,Welmo,jr-west,hokuriku-shinkansen,,,active,,,,,,,,Mascot of Jōetsumyōkō station on the Hokuriku Shinkansen.,北陸新幹線上越妙高駅のマスコット。
latch.toukyou,idol,東海林鈴音,しょうじりおん,,jr-east,yamanote,東京,,active,,,,Aither,STATION IDOL LATCH!,Q113159243,https://latch.jp/,"{station} station's LATCH! idol, in the unit Aither. Station staff by day, idols after their shift.",東京駅員のLATCH!。ユニット「Aither」。駅員の業務後にアイドルとして活動する。
latch.shinjuku,idol,神堂唯姫,しんどうゆき,,jr-east,yamanote,新宿,,active,,,,Aither,STATION IDOL LATCH!,Q113159243,https://latch.jp/,"{station} station's LATCH! idol, in the unit Aither. Station staff by day, idols after their shift.",新宿駅員のLATCH!。ユニット「Aither」。駅員の業務後にアイドルとして活動する。
latch.ikebukuro,idol,青葉梟光加人,あおばずくみかど,,jr-east,yamanote,池袋,,active,,,,Aither,STATION IDOL LATCH!,Q113159243,https://latch.jp/,"{station} station's LATCH! idol, in the unit Aither. Station staff by day, idols after their shift.",池袋駅員のLATCH!。ユニット「Aither」。駅員の業務後にアイドルとして活動する。
latch.ootsuka,idol,空蝉塁,うつせみるい,,jr-east,yamanote,大塚,,active,,,,EQUATIONS,STATION IDOL LATCH!,Q113159243,https://latch.jp/,"{station} station's LATCH! idol, in the unit EQUATIONS. Station staff by day, idols after their shift.",大塚駅員のLATCH!。ユニット「EQUATIONS」。駅員の業務後にアイドルとして活動する。
latch.nishinippori,idol,諏訪海晴,すわみはる,,jr-east,yamanote,西日暮里,,active,,,,EQUATIONS,STATION IDOL LATCH!,Q113159243,https://latch.jp/,"{station} station's LATCH! idol, in the unit EQUATIONS. Station staff by day, idols after their shift.",西日暮里駅員のLATCH!。ユニット「EQUATIONS」。駅員の業務後にアイドルとして活動する。
latch.takadanobaba,idol,武庸裕哉,たけつねゆうや,,jr-east,yamanote,高田馬場,,active,,,,EQUATIONS,STATION IDOL LATCH!,Q113159243,https://latch.jp/,"{station} station's LATCH! idol, in the unit EQUATIONS. Station staff by day, idols after their shift.",高田馬場駅員のLATCH!。ユニット「EQUATIONS」。駅員の業務後にアイドルとして活動する。
latch.shinbashi,idol,烏鷹鉄路,うだかてつみち,,jr-east,yamanote,新橋,,active,,,,鉄晴隊,STATION IDOL LATCH!,Q113159243,https://latch.jp/,"{station} station's LATCH! idol, in the unit 鉄晴隊. Station staff by day, idols after their shift.",新橋駅員のLATCH!。ユニット「鉄晴隊」。駅員の業務後にアイドルとして活動する。
latch.hamamatsuchou,idol,湊航琉,みなとわたる,,jr-east,yamanote,浜松町,,active,,,,鉄晴隊,STATION IDOL LATCH!,Q113159243,https://latch.jp/,"{station} station's LATCH! idol, in the unit 鉄晴隊. Station staff by day, idols after their shift.",浜松町駅員のLATCH!。ユニット「鉄晴隊」。駅員の業務後にアイドルとして活動する。
latch.tabata,idol,北颯,きたはやて,,jr-east,yamanote,田端,,active,,,,鉄晴隊,STATION IDOL LATCH!,Q113159243,https://latch.jp/,"{station} station's LATCH! idol, in the unit 鉄晴隊. Station staff by day, idols after their shift.",田端駅員のLATCH!。ユニット「鉄晴隊」。駅員の業務後にアイドルとして活動する。
latch.shinagawa,idol,一条肇,いちじょうはじめ,,jr-east,yamanote,品川,,active,,,,Magnificent,STATION IDOL LATCH!,Q113159243,https://latch.jp/,"{station} station's LATCH! idol, in the unit Magnificent. Station staff by day, idols after their shift.",品川駅員のLATCH!。ユニット「Magnificent」。駅員の業務後にアイドルとして活動する。
latch.yuurakuchou,idol,小鳥遊悠吏,たかなしゆうり,,jr-east,yamanote,有楽町,,active,,,,Magnificent,STATION IDOL LATCH!,Q113159243,https://latch.jp/,"{station} station's LATCH! idol, in the unit Magnificent. Station staff by day, idols after their shift.",有楽町駅員のLATCH!。ユニット「Magnificent」。駅員の業務後にアイドルとして活動する。
latch.nippori,idol,戸成綾,となりりょう,,jr-east,yamanote,日暮里,,active,,,,NØ Crew,STATION IDOL LATCH!,Q113159243,https://latch.jp/,"{station} station's LATCH! idol, in the unit NØ Crew. Station staff by day, idols after their shift.",日暮里駅員のLATCH!。ユニット「NØ Crew」。駅員の業務後にアイドルとして活動する。
latch.okachimachi,idol,高良摩利央,たからまりお,,jr-east,yamanote,御徒町,,active,,,,NØ Crew,STATION IDOL LATCH!,Q113159243,https://latch.jp/,"{station} station's LATCH! idol, in the unit NØ Crew. Station staff by day, idols after their shift.",御徒町駅員のLATCH!。ユニット「NØ Crew」。駅員の業務後にアイドルとして活動する。
latch.komagome,idol,英皐月,はなぶささつき,,jr-east,yamanote,駒込,,active,,,,花ゑみ,STATION IDOL LATCH!,Q113159243,https://latch.jp/,"{station} station's LATCH! idol, in the unit 花ゑみ. Station staff by day, idols after their shift.",駒込駅員のLATCH!。ユニット「花ゑみ」。駅員の業務後にアイドルとして活動する。
latch.sugamo,idol,高岩大智,たかいわだいち,,jr-east,yamanote,巣鴨,,active,,,,花ゑみ,STATION IDOL LATCH!,Q113159243,https://latch.jp/,"{station} station's LATCH! idol, in the unit 花ゑみ. Station staff by day, idols after their shift.",巣鴨駅員のLATCH!。ユニット「花ゑみ」。駅員の業務後にアイドルとして活動する。
latch.takanawageetouei,idol,和泉オーキッド亜恋,いずみオーキッドあれん,,jr-east,yamanote,高輪ゲートウェイ,,active,,,,花ゑみ,STATION IDOL LATCH!,Q113159243,https://latch.jp/,"{station} station's LATCH! idol, in the unit 花ゑみ. Station staff by day, idols after their shift.",高輪ゲートウェイ駅員のLATCH!。ユニット「花ゑみ」。駅員の業務後にアイドルとして活動する。
latch.ebisu,idol,饗庭紡麦,あえばつむぎ,,jr-east,yamanote,恵比寿,,active,,,,Che bello!,STATION IDOL LATCH!,Q113159243,https://latch.jp/,"{station} station's LATCH! idol, in the unit Che bello!. Station staff by day, idols after their shift.",恵比寿駅員のLATCH!。ユニット「Che bello!」。駅員の業務後にアイドルとして活動する。
latch.gotanda,idol,伍代晃,ごだいあきら,,jr-east,yamanote,五反田,,active,,,,Che bello!,STATION IDOL LATCH!,Q113159243,https://latch.jp/,"{station} station's LATCH! idol, in the unit Che bello!. Station staff by day, idols after their shift.",五反田駅員のLATCH!。ユニット「Che bello!」。駅員の業務後にアイドルとして活動する。
latch.tamachi,idol,羽振寿里,はぶりとしさと,,jr-east,yamanote,田町,,active,,,,Che bello!,STATION IDOL LATCH!,Q113159243,https://latch.jp/,"{station} station's LATCH! idol, in the unit Che bello!. Station staff by day, idols after their shift.",田町駅員のLATCH!。ユニット「Che bello!」。駅員の業務後にアイドルとして活動する。
latch.oosaki,idol,大崎新市,おおさきしんいち,,jr-east,yamanote,大崎,,active,,,,Che bello!,STATION IDOL LATCH!,Q113159243,https://latch.jp/,"{station} station's LATCH! idol, in the unit Che bello!. Station staff by day, idols after their shift.",大崎駅員のLATCH!。ユニット「Che bello!」。駅員の業務後にアイドルとして活動する。
latch.shibuya,idol,蜂谷恒星,はちやこうせい,,jr-east,yamanote,渋谷,,active,,,,3on☆star,STATION IDOL LATCH!,Q113159243,https://latch.jp/,"{station} station's LATCH! idol, in the unit 3on☆star. Station staff by day, idols after their shift.",渋谷駅員のLATCH!。ユニット「3on☆star」。駅員の業務後にアイドルとして活動する。
latch.harajuku,idol,竹下宮斗,たけしたきゅうと,,jr-east,yamanote,原宿,,active,,,,3on☆star,STATION IDOL LATCH!,Q113159243,https://latch.jp/,"{station} station's LATCH! idol, in the unit 3on☆star. Station staff by day, idols after their shift.",原宿駅員のLATCH!。ユニット「3on☆star」。駅員の業務後にアイドルとして活動する。
latch.yoyogi,idol,樅野葵,もみのあおい,,jr-east,yamanote,代々木,,active,,,,3on☆star,STATION IDOL LATCH!,Q113159243,https://latch.jp/,"{station} station's LATCH! idol, in the unit 3on☆star. Station staff by day, idols after their shift.",代々木駅員のLATCH!。ユニット「3on☆star」。駅員の業務後にアイドルとして活動する。
latch.shin-ookubo,idol,百瀬志生,ももせしお,,jr-east,yamanote,新大久保,,active,,,,eS,STATION IDOL LATCH!,Q113159243,https://latch.jp/,"{station} station's LATCH! idol, in the unit eS. Station staff by day, idols after their shift.",新大久保駅員のLATCH!。ユニット「eS」。駅員の業務後にアイドルとして活動する。
latch.meguro,idol,不動雅,ふどうみやび,,jr-east,yamanote,目黒,,active,,,,tenet,STATION IDOL LATCH!,Q113159243,https://latch.jp/,"{station} station's LATCH! idol, in the unit tenet. Station staff by day, idols after their shift.",目黒駅員のLATCH!。ユニット「tenet」。駅員の業務後にアイドルとして活動する。
latch.mejiro,idol,綜馬礼,そうまれい,,jr-east,yamanote,目白,,active,,,,tenet,STATION IDOL LATCH!,Q113159243,https://latch.jp/,"{station} station's LATCH! idol, in the unit tenet. Station staff by day, idols after their shift.",目白駅員のLATCH!。ユニット「tenet」。駅員の業務後にアイドルとして活動する。
latch.ueno,idol,飴屋楊,あめやよう,,jr-east,yamanote,上野,,active,,,,a/maze,STATION IDOL LATCH!,Q113159243,https://latch.jp/,"{station} station's LATCH! idol, in the unit a/maze. Station staff by day, idols after their shift.",上野駅員のLATCH!。ユニット「a/maze」。駅員の業務後にアイドルとして活動する。
latch.uguisudani,idol,根岸優歌,ねぎしゆうた,,jr-east,yamanote,鶯谷,,active,,,,a/maze,STATION IDOL LATCH!,Q113159243,https://latch.jp/,"{station} station's LATCH! idol, in the unit a/maze. Station staff by day, idols after their shift.",鶯谷駅員のLATCH!。ユニット「a/maze」。駅員の業務後にアイドルとして活動する。
latch.kanda,idol,咖山喱人,かやまりひと,,jr-east,yamanote,神田,,active,,,,人生,STATION IDOL LATCH!,Q113159243,https://latch.jp/,"{station} station's LATCH! idol, in the unit 人生. Station staff by day, idols after their shift.",神田駅員のLATCH!。ユニット「人生」。駅員の業務後にアイドルとして活動する。
latch.akihabara,idol,雷電遊生,らいでんゆうせい,,jr-east,yamanote,秋葉原,,active,,,,人生,STATION IDOL LATCH!,Q113159243,https://latch.jp/,"{station} station's LATCH! idol, in the unit 人生. Station staff by day, idols after their shift.",秋葉原駅員のLATCH!。ユニット「人生」。駅員の業務後にアイドルとして活動する。
asa.gomen,station-character,ごめん えきお君,,,tosa-kuroshio-tetsudo,asa,後免,,active,,,,,土佐くろしお鉄道ごめん・なはり線,,,"{station} station's character, drawn by Yanase Takashi, the creator of Anpanman.",後免駅のキャラクター。アンパンマンの作者やなせたかしのデザイン。モチーフは駅員。
asa.gomenmachi,station-character,ごめん まちこさん,,,tosa-kuroshio-tetsudo,asa,後免町,,active,,,,,土佐くろしお鉄道ごめん・なはり線,,,"{station} station's character, drawn by Yanase Takashi, the creator of Anpanman.",後免町駅のキャラクター。アンパンマンの作者やなせたかしのデザイン。モチーフは都会風の身なり。
asa.tatsuta,station-character,たてだ そらこちゃん,,,tosa-kuroshio-tetsudo,asa,立田,,active,,,,,土佐くろしお鉄道ごめん・なはり線,,,"{station} station's character, drawn by Yanase Takashi, the creator of Anpanman.",立田駅のキャラクター。アンパンマンの作者やなせたかしのデザイン。モチーフは客室乗務員。
asa.noichi,station-character,のいちんどんまん,,,tosa-kuroshio-tetsudo,asa,のいち,,active,,,,,土佐くろしお鉄道ごめん・なはり線,,,"{station} station's character, drawn by Yanase Takashi, the creator of Anpanman.",のいち駅のキャラクター。アンパンマンの作者やなせたかしのデザイン。モチーフはピエロ風。
asa.yoshikawa,station-character,よしかわ うなお君,,,tosa-kuroshio-tetsudo,asa,よしかわ,,active,,,,,土佐くろしお鉄道ごめん・なはり線,,,"{station} station's character, drawn by Yanase Takashi, the creator of Anpanman.",よしかわ駅のキャラクター。アンパンマンの作者やなせたかしのデザイン。モチーフはウナギ。
asa.akaoka,station-character,あかおか えきんさん,,,tosa-kuroshio-tetsudo,asa,あかおか,,active,,,,,土佐くろしお鉄道ごめん・なはり線,,,"{station} station's character, drawn by Yanase Takashi, the creator of Anpanman.",あかおか駅のキャラクター。アンパンマンの作者やなせたかしのデザイン。モチーフは弘瀬金蔵。
asa.kagami,station-character,かがみ みかんちゃん,,,tosa-kuroshio-tetsudo,asa,香我美,,active,,,,,土佐くろしお鉄道ごめん・なはり線,,,"{station} station's character, drawn by Yanase Takashi, the creator of Anpanman.",香我美駅のキャラクター。アンパンマンの作者やなせたかしのデザイン。モチーフは山北みかん。
asa.yasu,station-character,やす にんぎょちゃん,,,tosa-kuroshio-tetsudo,asa,夜須,,active,,,,,土佐くろしお鉄道ごめん・なはり線,,,"{station} station's character, drawn by Yanase Takashi, the creator of Anpanman.",夜須駅のキャラクター。アンパンマンの作者やなせたかしのデザイン。モチーフは人魚。
asa.nishibun,station-character,にしぶん つきこちゃん,,,tosa-kuroshio-tetsudo,asa,西分,,active,,,,,土佐くろしお鉄道ごめん・なはり線,,,"{station} station's character, drawn by Yanase Takashi, the creator of Anpanman.",西分駅のキャラクター。アンパンマンの作者やなせたかしのデザイン。モチーフは月。
asa.washoku,station-character,わじき カッパ君,,,tosa-kuroshio-tetsudo,asa,和食,,active,,,,,土佐くろしお鉄道ごめん・なはり線,,,"{station} station's character, drawn by Yanase Takashi, the creator of Anpanman.",和食駅のキャラクター。アンパンマンの作者やなせたかしのデザイン。モチーフはカッパ。
asa.akano,station-character,あかの カモメちゃん,,,tosa-kuroshio-tetsudo,asa,赤野,,active,,,,,土佐くろしお鉄道ごめん・なはり線,,,"{station} station's character, drawn by Yanase Takashi, the creator of Anpanman.",赤野駅のキャラクター。アンパンマンの作者やなせたかしのデザイン。モチーフはカモメ。
asa.ananai,station-character,あなない ナスビさん,,,tosa-kuroshio-tetsudo,asa,穴内,,active,,,,,土佐くろしお鉄道ごめん・なはり線,,,"{station} station's character, drawn by Yanase Takashi, the creator of Anpanman.",穴内駅のキャラクター。アンパンマンの作者やなせたかしのデザイン。モチーフはナス。
asa.kyuujoumae,station-character,球場 ボール君,,,tosa-kuroshio-tetsudo,asa,球場前,,active,,,,,土佐くろしお鉄道ごめん・なはり線,,,"{station} station's character, drawn by Yanase Takashi, the creator of Anpanman.",球場前駅のキャラクター。アンパンマンの作者やなせたかしのデザイン。モチーフは野球ボール。
